id,doha_hi,doha_en,meaning_en
70,"कबीरा जा देखू चला, न देखू कछु दोय।
एक हरि न देखू, दूजा कौन जग बोय।।","Kabir, wherever I go, I do not see anything else.
I see only the one divine being; who else is there in the world?","This doha expresses Kabir's realization of the omnipresence of the divine. He perceives the divine in everything and everyone, recognizing that there is no separation between the divine and the world around him. This doha encourages us to cultivate a similar spiritual awareness, seeing the divine in all aspects of our lives."
71,"कबीरा जीवन अनित्य है, बारंबार इह सीख।
ज्यों जल बिंदु कमल पत्र, न तैरत न बहत नीक।।","Kabir, life is impermanent, learn this again and again.
Like a water droplet on a lotus leaf, it neither floats nor sinks.","This doha highlights the transient nature of life, emphasizing the importance of being aware of life's impermanence. Just as a water droplet on a lotus leaf is neither floating nor sinking, life is in a state of delicate balance, and we must remain mindful of its fragile nature."
72,"कबीरा करता करता, भया नाम का चोर।
आवत जावत देखता, कछु नहीं चला तोर।।","Kabir, while doing actions, I became a thief of the divine name.
Watching the comings and goings, nothing could break me.","Kabir reveals that by constantly remembering the divine name, even while performing worldly actions, he has become 'a thief of the divine name.' This doha teaches us to remember and invoke the divine presence in all aspects of life, transcending the limitations of the material world."
73,"कबीरा कुछ करते करते, हाथ काम कच्छ।
अब कछु करते करते, हाथ काम कच्छ।।","Kabir, while doing something, the hands do work.
Now, while doing something, the hands do work.","This doha emphasizes the importance of action and engagement in the world. It encourages us to perform our duties and engage with life, rather than becoming passive or detached. The repetition in the doha underscores the continuous and ever-present nature of action."
74,"कबीरा लोगा से लहरी, लहरी से न दोय।
केवल राम नाम बिन, कोऊ नहीं जग सोय।।","Kabir, I am free from the waves of people, and the waves are not from me.
Without the divine name, no one in the world is at rest.","This doha reflects Kabir's detachment from the waves of worldly concerns and the influence of others. By focusing on the divine name, he remains at peace amidst the turbulence of life. This doha encourages us to cultivate a similar detachment and inner tranquility by relying on our spiritual practice."
75,"कबीरा मानस जन्म दुलभ है, होय न बारम्बार।
जब लगु चेतन नहीं आया, तब लगु मूढ़ा घबराय।।","Kabir, a human birth is rare, it does not happen again and again.
As long as one does not become aware, the fool remains anxious.","Kabir emphasizes the preciousness of human birth and the unique opportunity it presents for spiritual growth and self-realization. The doha encourages us to make the best use of this life by becoming aware of our true nature and seeking spiritual understanding, rather than wasting time in anxiety and worldly distractions."
76,"कबीरा मिट्टी कहे पुखरु, तुम क्या रोवहि धूल।
जब मैं रोया, तब कहां थे, अब कहां रोवत भूल।।","Kabir, the earth says to the pot, 'Why do you cry over dust? When I was crying, where were you? Now, where do you cry, forgetting?","Kabir, through the metaphor of the earth and the pot, highlights the impermanence of the material world and our misguided attachment to it. The pot is made from the earth, and one day it will return to the earth. The doha reminds us to not get overly attached to the physical world and instead focus on the eternal, spiritual reality."
77,"कबीरा नर जन्म पाया, प्राणी धर्म करि चित।
परचा न मिले नाम का, ता का करि करि बित।।","Kabir, having gained human birth, the living being should perform righteous deeds.
If one doesn't receive the divine name's grace, their life passes in vain.","The doha emphasizes the importance of righteous action and devotion to the divine name in human life. It cautions that if we don't strive to attain spiritual grace, our life would be wasted, reminding us to make the best use of our human existence."
78,"कबीरा निज घर मुख लागे, बाहरि देखन जाय।
जैसे घर में सुत बाहरि, पिंजरे को राखि प्रभाय।।","Kabir, one should focus on their inner self instead of looking outside.
Just as there is a child at home but the attention is on the cage outside.","Kabir emphasizes the importance of inner reflection and self-realization, rather than seeking happiness and fulfillment in external objects or circumstances. The doha uses the metaphor of a child and a cage to illustrate the idea that true contentment and peace can only be found within oneself."
79,"कबीरा नींद न आवे, तैसी करि जागि।
जिमि चोर के घर में, बिलखिये निरभय लागि।।","Kabir, if you cannot sleep, stay awake like this: Just as a thief enters a house fearlessly, trembling.","This doha encourages us to remain vigilant and alert in our spiritual practice, comparing the state of wakefulness to a fearless thief. The message is to be courageous and focused in our pursuit of spiritual growth and self-awareness, even in the face of obstacles and challenges."
80,"कबीरा पग धोये कैसे, कैसे धोये हाथ।
मन मैला सदा रहे, तो कैसे पावे व्रत।।","Kabir, how can one wash their feet and hands? If the mind remains impure, how can one attain spiritual discipline?","Kabir emphasizes the importance of inner purity rather than external rituals. He asks how one can attain spiritual progress by merely washing their hands and feet if the mind remains impure. This doha reminds us to focus on cleansing our minds and hearts through sincere spiritual practice, rather than relying on superficial acts of devotion."
81,"कबीरा पानी भरने गया, घट रहा किनारे।
जल को पकड़ि करत रहा, जल बहता जाय बारे।।","Kabir, I went to fill water, but the pot stayed at the shore.
Trying to hold the water, it kept flowing away.","This doha uses the metaphor of filling a pot with water to illustrate the futility of trying to grasp or hold onto the impermanent things in life. Just as water slips through our fingers, material possessions and experiences are transient and ever-changing. Kabir encourages us to focus on the eternal and unchanging spiritual reality instead."
82,"कबीरा पानी पीयत है, देखि पराई धर।
तन भीतर जब धोवत है, तब तो होत अपराध।।","Kabir, one drinks water, watching another's reflection.
When one washes the body inside, only then is it a sin.",Kabir highlights the importance of inner purity and self-awareness. He suggests that focusing on external appearances or the actions of others is misleading and superficial. True spiritual progress comes from cleansing our inner selves and recognizing our own faults and imperfections.
83,"कबीरा पिप्पल पिरवा बहुत, किनिहिं प्राणी कीए।
एक करेंगे जब वासा, तब काल लेइ लीए।।","Kabir, there are many banyan and sacred fig trees, but few creatures take shelter in them.
When one finally takes refuge, then death takes them away.","Kabir uses the metaphor of banyan and sacred fig trees to represent spiritual refuge and protection. He laments that few people seek shelter in spirituality, and when they finally do, death may be imminent. This doha reminds us of the importance of starting our spiritual journey early and not postponing it until later in life."
84,"कबीरा प्रेम गली अति सॉकरी, तामें दो न समाई।
जब मैं था तब हरि नहीं, अब हरि हैं मैं नाही।।","Kabir, the alley of love is extremely narrow, so narrow that two cannot fit.
When I was there, the divine was not; now the divine is present, and I am not.","Kabir describes the path of love and devotion as a narrow alley where only the devotee and the divine cannot coexist. He explains that when he was full of ego and self-identity, he could not experience the divine presence. But now, as he has let go of his ego, he experiences the divine within him. This doha emphasizes the importance of transcending the ego and surrendering to the divine in the path of love and devotion."
85,"कबीरा साधु बदइया, जो गुर की सरनै।
देखत सुनत सब हरि का, ज्ञानी दुख न पावै।।","Kabir, blessed is the devotee who seeks refuge in the Guru.
By seeing and hearing all as divine, the wise one never experiences suffering.","Kabir praises the devotee who takes shelter under a spiritual master and perceives everything as an expression of the divine. Such a wise person transcends suffering, as they recognize the underlying unity and divine presence in all experiences. This doha highlights the importance of seeking guidance from a spiritual teacher and cultivating an attitude of seeing the divine in everything."
86,"कबीरा साधु सँगति का, बलि बलि सदा बलि जाई।
कूकर देखि निज मुख को, तब ही सुखि रहे समाई।।","Kabir, I offer my strength to the company of the devout, always offering my strength.
Seeing a dog and reflecting on one's own face, only then can one live contentedly.","Kabir emphasizes the importance of being in the company of sincere spiritual seekers (satsang) and surrendering oneself to it. He uses the metaphor of a dog seeing its own reflection to illustrate the idea of self-reflection and humility. By practicing self-awareness and associating with like-minded individuals, we can find contentment and spiritual growth."
87,"कबीरा साधु सँगति सब कछु तजि, एक जिनिहिं हरि सँगति होय।
ताके चरण कमल बांधि, गले हमेसा ताहि न छोड़ै कोय।।","Kabir, leaving everything for the company of the saint, the one who attains the divine company.
Tying their lotus feet around the neck, no one would ever let go of them.","Kabir stresses the importance of seeking the company of spiritual seekers and saints. He suggests that the divine company attained through association with such individuals is invaluable, and one should hold onto it tightly. This doha encourages us to prioritize spiritual growth and foster relationships that lead us closer to the divine."
88,"कबीरा साधु से करि दोस्ती, तब हरि से करि दोस्ती।
हरि तो रामा नगर में, साधु ही पहिरिया होस्ती।।","Kabir, befriend a saint, then befriend God.
God is in the city of Rama, and the saint is the gatekeeper.","Kabir emphasizes the importance of forming a close relationship with a saint, who can guide us on our spiritual journey. He likens the saint to a gatekeeper of the divine city, suggesting that connecting with a spiritual guide is the key to accessing the divine presence. This doha encourages us to seek the guidance and wisdom of spiritual teachers in our pursuit of spiritual growth and understanding."
89,"कबीरा सब जग जलता है, जगत सब साधु लौटै।
साधु का मारग कठिन है, जो जाए वह सो जात।।","Kabir, the whole world is burning, while the world shuns the saints.
The path of the saint is difficult; whoever goes there succeeds.","Kabir observes that the world is suffering and engulfed in the flames of material desires, while true saints are often disregarded or shunned. He acknowledges that the path of a saint is challenging, but those who dare to walk it achieve success in their spiritual journey. This doha encourages us to embrace the challenges of the spiritual path and seek the guidance of true saints."
90,"कबीरा सब जग निंदक है, सब कोई सुखदाता।
जो सुख को देखि चलत है, ताके पीछे जात दुःखदाता।।","Kabir, the whole world is a critic, everyone seeks happiness.
Whoever follows happiness, the giver of sorrow follows behind.","Kabir points out that people in the world are often critical and preoccupied with seeking their own happiness. He warns that by constantly pursuing happiness, we may inadvertently invite sorrow and suffering into our lives. This doha encourages us to cultivate an attitude of contentment and inner peace, rather than focusing solely on external sources of happiness."
91,"कबीरा सब कुछु होता है, अवघट घटा माहि।
साधु सँगति कहु न मिलै, यह मरमा समाहि।।","Kabir, everything is possible in this mysterious world.
But it's hard to find the company of saints, this is the secret to understand.","Kabir acknowledges the unpredictability and mystery of the world, where many things can happen. However, he emphasizes the rarity and value of finding the company of true spiritual seekers (satsang). This doha suggests that the secret to understanding life's deeper meaning and purpose lies in associating with wise and spiritually realized individuals."
92,"कबीरा संत न छोड़ै संतैं, संत छोड़ै नाहिं।
जब लगि संत न छोड़ै कंतैं, तब लगि केसर कुँवारै जाहिं।।","Kabir, the saint does not abandon his devotees, and the devotees do not abandon the saint.
As long as the saint does not leave the devotee, even the saffron remains unblemished.","Kabir emphasizes the unwavering loyalty and bond between a saint and their devotees. He suggests that as long as the saint continues to guide and support the devotee, the devotee's spiritual purity remains intact, just as saffron remains unblemished. This doha highlights the importance of maintaining a strong connection with a spiritual guide to preserve one's spiritual integrity."
93,"कबीरा सुमिरन सब काज, सब काज सँगति सत।
सब काज सँगति सदा, तब काज होत सब काज।।","Kabir, remembrance is everything, everything is in the company of truth.
Everything is in the company of truth always, only then everything is accomplished.","Kabir asserts the importance of remembering the divine and the role it plays in one's life. He emphasizes that the company of truth (satsang) is the key to accomplishing all tasks and attaining spiritual success. This doha encourages us to seek the company of like-minded spiritual seekers and keep the divine in our thoughts, as it will lead to success in all aspects of life."
94,"कबीरा सुनो भाई साधो, इस जग की मिट्टी बोर।
जहाँ साधु न पग धरे, तहाँ ठग बैठे छोर।।","Kabir, listen, my saintly brother, the soil of this world is barren.
Where the saint's feet do not tread, there sit the deceivers and thieves.","Kabir warns of the spiritual barrenness of the world and the presence of deceitful individuals who prey on the innocent. He stresses the importance of seeking the company of true saints, who bring spiritual nourishment and protection. This doha encourages us to be discerning in our associations and to prioritize the company of genuine spiritual seekers."
95,"कबीरा सुनो भाई साधो, काम धंधा देखि बूझ।
जब लगि नहिं सोई जागै, तब लगि काज सब कुछू ढूँढ।।","Kabir, listen, my saintly brother, observe and understand the worldly affairs.
Until one does not awaken from sleep, they will continue to seek out all sorts of tasks.","Kabir urges spiritual seekers to be observant and discerning of the worldly affairs that surround them. He emphasizes the importance of awakening from the slumber of ignorance and realizing the true purpose of life. Until we awaken to our spiritual nature, we will continue to be entangled in the never-ending pursuit of worldly tasks. This doha encourages us to strive for spiritual awakening and to understand the true essence of our existence."
96,"कबीरा सुनो भाई साधो, राम नाम का साँचा।
कांचा राम नाम का, साँचा मोहि लगता।।","Kabir, listen, my saintly brother, the name of Ram is genuine.
The unrefined name of Ram seems genuine to me.","Kabir highlights the power and authenticity of the divine name, specifically the name of Ram. He suggests that even in its unrefined form, the name of Ram holds deep spiritual significance and truth. This doha encourages us to recite and remember the divine name, as it can lead to spiritual awakening and inner transformation."
97,"कबीरा तेरी जतना कारी, जगत जुआरि जुआर।
जुआरी संगति तेरी जतना, तू जुआरि जुआर।।","Kabir, you strive so hard, but the world is a gambler.
Your association with the gambler makes you a gambler too.","Kabir comments on the futility of worldly pursuits and the influence of negative associations. The world is likened to a gambler, and by associating with it, one becomes a gambler as well. This doha encourages us to be mindful of the company we keep and to seek the company of spiritually uplifting individuals, avoiding those who might lead us astray."
98,"कबीरा तीरथ नावा जौ करे, जम का डर न जाय।
दिल की धोती धोय के, बहुत कीजै दान।।","Kabir, if one goes on pilgrimage and bathes at holy places, the fear of death does not go away.
Cleanse the heart's cloth, and perform much charity.","Kabir emphasizes that mere ritualistic practices, like visiting holy places and bathing in sacred waters, do not bring liberation from the cycle of birth and death. True spiritual progress involves cleansing the heart of impurities and engaging in acts of selfless service and charity. This doha reminds us to focus on inner transformation and genuine acts of kindness, rather than relying solely on external rituals."
99,"कबीरा तोही जानत है, तोही जानत हर।
जगत जानत जानत नहीं, तोही जानत दर।।","Kabir, only you know yourself, and only God knows you.
The world does not truly know you, only you know the door.","Kabir highlights the importance of self-awareness and the limitations of worldly knowledge. He suggests that only an individual can truly know themselves, and only God has complete knowledge of that individual. The world, however, cannot truly understand anyone's inner nature. This doha encourages introspection and the cultivation of a personal connection with the divine, as these are the keys to unlocking our true selves."
100,"कबीरा तुम न चेतही रे, मन अनचेता होय।
जब चेति चेति चेतना, तब चेति न होय।।","Kabir, you do not pay attention, your mind is inattentive.
When you will try to pay attention, then attention will not be there.","Kabir warns of the consequences of not being mindful and attentive in life. He suggests that when we finally try to focus our minds, it may be too late, and we may struggle to find the presence of mind we desire. This doha encourages us to cultivate mindfulness and attentiveness in our daily lives, as they are essential for both our worldly and spiritual well-being."
101,"कबीरा तुम सोचत हैं, निमिष की मिट्टी काज।
सोचत सोचत सोचना, जाय गया अवसाद।।","Kabir, you think of the momentary soil's work.
While thinking and thinking, the time of happiness has passed.","Kabir points out the human tendency to get lost in worries and concerns about transient worldly matters. He suggests that by constantly dwelling on these fleeting issues, we end up missing out on the opportunities for happiness and joy in our lives. This doha encourages us to focus on the present moment and to recognize the impermanence of worldly affairs, allowing us to better appreciate the happiness that life has to offer."
102,"कबीरा उदय मूलत है, जलत है अनल कान।
दूजी बार न होएगा, बिलखत है सुनान।।","Kabir, the source of fire is the sun, which burns like a blazing fire.
It will not happen again, the blacksmith is the one who endures.","Kabir uses the metaphor of fire and the sun to illustrate the importance of seizing opportunities and making the most of our time. He reminds us that certain chances may never come again, so we must be ready to endure the challenges and make the most of them."
103,"कबीरा वह गुरु जो करे, सो भव है भरोसा।
जो गुरु करे सो करणा, गुरु देखि तरोसा।।","Kabir, that guru who does, has full faith.
What the guru does, we should do, seeing the guru, we gain confidence.","Kabir emphasizes the importance of having faith in one's spiritual teacher and following their guidance. By observing the actions of a genuine guru, one can gain confidence and understanding, ultimately leading to spiritual growth and enlightenment."
104,"कबीरा विचारी जो बने, विचारी ते नर।
विचारी लहें परमारथ, बिनु विचारे अधर।।","Kabir, those who become contemplative are truly human.
Contemplative people attain the supreme goal, without contemplation, they falter.","Kabir highlights the importance of being contemplative and reflective in one's spiritual journey. Contemplation leads to the attainment of the highest truth and understanding, whereas a lack of introspection can result in stagnation or failure in one's path."
105,"कबीरा विषय रस का, ताका बहुत निकोट।
जब लग न छोड़ै विषय, तब लग मोक्ष की खोट।।","Kabir, the taste of sensual pleasures is very near.
Until one renounces sensual pleasures, the possibility of liberation is lost.","Kabir cautions against the allure of sensual pleasures, which can hinder one's spiritual progress. He stresses the importance of renouncing such desires in order to attain true liberation and spiritual freedom."
106,"कबीरा वो पंथ की, जीतगी जो पंथी।
पंथी सब के साथी, जो पंथी नहीं संथी।।","Kabir, the one who wins the path is the true traveler.
A traveler is a companion to all, but not attached to any.","Kabir emphasizes the importance of embarking on a spiritual path with a sense of detachment. The true traveler, or seeker, walks the path without becoming attached to any specific belief or ideology, thus remaining open to the companionship and guidance of all. This allows for greater growth and understanding on the spiritual journey."
107,"कबीरा सोई निंदक है, जो सबने निंदन।
निंदक निंदै निंदक का, निर्मल निंदन।।","Kabir, that critic is the one who criticizes everyone.
When a critic criticizes a critic, the act of criticism becomes pure.","Kabir suggests that the critic who criticizes everyone, including other critics, is the one who keeps things pure. In this way, Kabir highlights the importance of honest feedback and self-reflection, which can help one grow and improve."
108,"कबीरा सोई पंथ कहु, जो चलै अधिकाय।
एक नाम के दास हैं, निर्मल निर्विचार।।","Kabir, tell me about that path which leads to the highest.
They are the servants of the one name, pure and thought-free.",Kabir emphasizes the importance of following a spiritual path that leads to the highest truth. This path is characterized by being devoted to a single divine principle and maintaining a state of purity and thought-free awareness.
109,"कबीरा सोई साधु है, जो चाखे निर्मल नीर।
साधु संगति देव बैठे, चाखे निर्मल पीर।।","Kabir, that saint is the one who tastes the pure water.
Even the gods sit in the company of saints, tasting the pure pain.","Kabir highlights the qualities of a true saint, who enjoys the purity and divine essence of life. He emphasizes the importance of being in the company of such saints, as even the gods are said to be in their presence, sharing in the experience of their pure wisdom."
110,"कबीरा सोई साधु है, जो सबको सुख देत।
आपन दुख सहे सबका, सो साधु कहलाय।।","Kabir, that saint is the one who gives happiness to all.
Enduring their own suffering while alleviating others', they are called a saint.","Kabir defines a true saint as someone who brings happiness and relief to others, even at the cost of their own suffering. This selfless dedication to the well-being of others is what distinguishes a saint from ordinary individuals."
111,"कबीरा सोई साधु है, जो सबको समझावे।
सबने समझा समझाना, जो आप समझावे।।","Kabir, that saint is the one who knows the essence of truth.
The one who understands the essence of truth is called a saint.",Kabir emphasizes that a true saint is someone who grasps the core of truth and lives by it. This deep understanding and realization of truth is a key characteristic of a genuine saint.
112,"कबीरा वो पुरुष है, जो तरती दुःख का घर।
दुःख के घर को तरता, सो पुरुष होय नार।।","Kabir, that person is the one who crosses the home of sorrow.
The one who crosses the home of sorrow becomes a man, not a woman.","Kabir implies that a person who can overcome suffering and adversity is considered strong and resilient. The mention of ""man"" and ""woman"" here is metaphorical, suggesting that overcoming sorrow is a mark of strength and courage, regardless of gender."
113,"कबीरा वो लड़ाई है, जो लड़ाई नहीं होय।
लड़ाई का अभाव में, वो लड़ाई होय।।","Kabir, that battle is the one which doesn't happen.
In the absence of battle, that battle takes place.","Kabir conveys the idea that the most significant battles are those that are resolved without any conflict. A true victory is one where peace and understanding prevail, and battles are avoided through wisdom and compassion."
114,"कबीरा वो विद्या है, जो विद्या के बिना।
विद्या के अभाव में, वो विद्या होय।।","Kabir, that knowledge is the one which is without knowledge.
In the absence of knowledge, that knowledge exists.","Kabir highlights the importance of understanding beyond mere intellectual knowledge. True wisdom lies in the ability to grasp the essence of reality, which often transcends conventional knowledge and can be found in the absence of formal learning."
115,"कबीरा वो सत्य है, जो सत्य का नाम।
सत्य का नाम लेने वाला, सो सत्य कहलाय।।","Kabir, that truth is the one which is the name of truth.
One who takes the name of truth is called truth.","Kabir emphasizes the importance of aligning oneself with the truth and living by its principles. When one embodies truth and upholds it in their thoughts, words, and actions, they become an embodiment of truth themselves."
116,"कबीरा वो सदगुरु है, जो सदगुरु के साथ।
सदगुरु के साथ रहकर, सो सदगुरु कहलाय।।","Kabir, that true guru is the one who stays with the true guru.
By staying with the true guru, one is called a true guru.","Kabir emphasizes the importance of being in the company of a true spiritual guide. When a seeker follows and stays close to a true guru, they learn and internalize the teachings and wisdom, ultimately becoming a true guru themselves."